timestamp_utc,timestamp_local,bidding_zone,price_eur_mwh,price_type
2021-11-08T08:15:00+00:00,2021-11-08T09:15:00+01:00,DE-LU,59.02,imbalance_short
2021-11-08T08:15:00+00:00,2021-11-08T09:15:00+01:00,NL,154.66,imbalance_long
2021-11-08T08:15:00+00:00,2021-11-08T09:15:00+01:00,NL,154.66,imbalance_short
2021-11-08T08:30:00+00:00,2021-11-08T09:30:00+01:00,DE-LU,55.97,imbalance_long
2021-11-08T08:30:00+00:00,2021-11-08T09:30:00+01:00,DE-LU,55.97,imbalance_short
2021-11-08T08:30:00+00:00,2021-11-08T09:30:00+01:00,FR,31.46,imbalance_long
2021-11-08T08:30:00+00:00,2021-11-08T09:30:00+01:00,FR,34.78,imbalance_short
2021-11-08T08:30:00+00:00,2021-11-08T09:30:00+01:00,NL,183.68,imbalance_long
2021-11-08T08:30:00+00:00,2021-11-08T09:30:00+01:00,NL,183.68,imbalance_short
2021-11-08T08:45:00+00:00,2021-11-08T09:45:00+01:00,DE-LU,42.31,imbalance_long
2021-11-08T08:45:00+00:00,2021-11-08T09:45:00+01:00,DE-LU,42.31,imbalance_short
2021-11-08T08:45:00+00:00,2021-11-08T09:45:00+01:00,NL,160.73,imbalance_long
2021-11-08T08:45:00+00:00,2021-11-08T09:45:00+01:00,NL,160.73,imbalance_short
2021-11-08T09:00:00+00:00,2021-11-08T10:00:00+01:00,DE-LU,34.24,imbalance_long
2021-11-08T09:00:00+00:00,2021-11-08T10:00:00+01:00,DE-LU,34.24,imbalance_short
2021-11-08T09:00:00+00:00,2021-11-08T10:00:00+01:00,FR,220.05,imbalance_long
2021-11-08T09:00:00+00:00,2021-11-08T10:00:00+01:00,FR,243.21,imbalance_short
2021-11-08T09:00:00+00:00,2021-11-08T10:00:00+01:00,NL,547.13,imbalance_long
2021-11-08T09:00:00+00:00,2021-11-08T10:00:00+01:00,NL,547.13,imbalance_short
2021-11-08T09:15:00+00:00,2021-11-08T10:15:00+01:00,DE-LU,21.67,imbalance_long
2021-11-08T09:15:00+00:00,2021-11-08T10:15:00+01:00,DE-LU,21.67,imbalance_short
2021-11-08T09:15:00+00:00,2021-11-08T10:15:00+01:00,NL,138.33,imbalance_long
2021-11-08T09:15:00+00:00,2021-11-08T10:15:00+01:00,NL,208.52,imbalance_short
2021-11-08T09:30:00+00:00,2021-11-08T10:30:00+01:00,DE-LU,15.43,imbalance_long
