timestamp_utc,timestamp_local,bidding_zone,price_eur_mwh,load_actual_mw
2021-11-08T05:30:00+00:00,2021-11-08T06:30:00+01:00,FR,207.17,58515
2021-11-08T05:30:00+00:00,2021-11-08T06:30:00+01:00,NL,178.99,12294.54
2021-11-08T05:45:00+00:00,2021-11-08T06:45:00+01:00,AT,200.96,
2021-11-08T05:45:00+00:00,2021-11-08T06:45:00+01:00,BE,201.02,
2021-11-08T05:45:00+00:00,2021-11-08T06:45:00+01:00,CH,199.38,
2021-11-08T05:45:00+00:00,2021-11-08T06:45:00+01:00,DE-LU,173.9,65326.29
2021-11-08T05:45:00+00:00,2021-11-08T06:45:00+01:00,FR,207.17,58515
2021-11-08T05:45:00+00:00,2021-11-08T06:45:00+01:00,NL,178.99,12545.63
2021-11-08T06:00:00+00:00,2021-11-08T07:00:00+01:00,AT,226.81,
2021-11-08T06:00:00+00:00,2021-11-08T07:00:00+01:00,BE,228.76,
2021-11-08T06:00:00+00:00,2021-11-08T07:00:00+01:00,CH,212.03,
2021-11-08T06:00:00+00:00,2021-11-08T07:00:00+01:00,DE-LU,221.15,67221.08
2021-11-08T06:00:00+00:00,2021-11-08T07:00:00+01:00,FR,229.02,64102
2021-11-08T06:00:00+00:00,2021-11-08T07:00:00+01:00,NL,224,13101.52
2021-11-08T06:15:00+00:00,2021-11-08T07:15:00+01:00,AT,226.81,
2021-11-08T06:15:00+00:00,2021-11-08T07:15:00+01:00,BE,228.76,
2021-11-08T06:15:00+00:00,2021-11-08T07:15:00+01:00,CH,212.03,
2021-11-08T06:15:00+00:00,2021-11-08T07:15:00+01:00,DE-LU,221.15,67743.18
2021-11-08T06:15:00+00:00,2021-11-08T07:15:00+01:00,FR,229.02,64102
2021-11-08T06:15:00+00:00,2021-11-08T07:15:00+01:00,NL,224,13654.4
2021-11-08T06:30:00+00:00,2021-11-08T07:30:00+01:00,AT,226.81,
2021-11-08T06:30:00+00:00,2021-11-08T07:30:00+01:00,BE,228.76,
2021-11-08T06:30:00+00:00,2021-11-08T07:30:00+01:00,CH,212.03,
2021-11-08T06:30:00+00:00,2021-11-08T07:30:00+01:00,DE-LU,221.15,68282.93
2021-11-08T06:30:00+00:00,2021-11-08T07:30:00+01:00,FR,229.02,64102
2021-11-08T06:30:00+00:00,2021-11-08T07:30:00+01:00,NL,224,14017.89
2021-11-08T06:45:00+00:00,2021-11-08T07:45:00+01:00,AT,226.81,
2021-11-08T06:45:00+00:00,2021-11-08T07:45:00+01:00,BE,228.76,
2021-11-08T06:45:00+00:00,2021-11-08T07:45:00+01:00,CH,212.03,
2021-11-08T06:45:00+00:00,2021-11-08T07:45:00+01:00,DE-LU,221.15,69003.7
2021-11-08T06:45:00+00:00,2021-11-08T07:45:00+01:00,FR,229.02,64102
2021-11-08T06:45:00+00:00,2021-11-08T07:45:00+01:00,NL,224,14262.49
2021-11-08T07:00:00+00:00,2021-11-08T08:00:00+01:00,AT,237.99,
2021-11-08T07:00:00+00:00,2021-11-08T08:00:00+01:00,BE,246.89,
2021-11-08T07:00:00+00:00,2021-11-08T08:00:00+01:00,CH,222.15,
2021-11-08T07:00:00+00:00,2021-11-08T08:00:00+01:00,DE-LU,214.08,69845.52
2021-11-08T07:00:00+00:00,2021-11-08T08:00:00+01:00,FR,248.05,65947
2021-11-08T07:00:00+00:00,2021-11-08T08:00:00+01:00,NL,225.02,14492.39
2021-11-08T07:15:00+00:00,2021-11-08T08:15:00+01:00,AT,237.99,
2021-11-08T07:15:00+00:00,2021-11-08T08:15:00+01:00,BE,246.89,
2021-11-08T07:15:00+00:00,2021-11-08T08:15:00+01:00,CH,222.15,
2021-11-08T07:15:00+00:00,2021-11-08T08:15:00+01:00,DE-LU,214.08,70258.25
2021-11-08T07:15:00+00:00,2021-11-08T08:15:00+01:00,FR,248.05,65947
2021-11-08T07:15:00+00:00,2021-11-08T08:15:00+01:00,NL,225.02,14656.85
2021-11-08T07:30:00+00:00,2021-11-08T08:30:00+01:00,AT,237.99,
