timestamp_utc,timestamp_local,bidding_zone,price_eur_mwh
2021-11-09T05:00:00+00:00,2021-11-09T06:00:00+01:00,FR,190.0
2021-11-09T05:00:00+00:00,2021-11-09T06:00:00+01:00,NL,190.0
2021-11-09T06:00:00+00:00,2021-11-09T07:00:00+01:00,AT,225.14
2021-11-09T06:00:00+00:00,2021-11-09T07:00:00+01:00,BE,219.4
2021-11-09T06:00:00+00:00,2021-11-09T07:00:00+01:00,CH,232.33
2021-11-09T06:00:00+00:00,2021-11-09T07:00:00+01:00,DE-LU,223.88
2021-11-09T06:00:00+00:00,2021-11-09T07:00:00+01:00,FR,230.08
2021-11-09T06:00:00+00:00,2021-11-09T07:00:00+01:00,NL,219.15
2021-11-09T07:00:00+00:00,2021-11-09T08:00:00+01:00,AT,252.24
2021-11-09T07:00:00+00:00,2021-11-09T08:00:00+01:00,BE,231.73
2021-11-09T07:00:00+00:00,2021-11-09T08:00:00+01:00,CH,237.09
2021-11-09T07:00:00+00:00,2021-11-09T08:00:00+01:00,DE-LU,215.58
2021-11-09T07:00:00+00:00,2021-11-09T08:00:00+01:00,FR,239.03
2021-11-09T07:00:00+00:00,2021-11-09T08:00:00+01:00,NL,188.11
2021-11-09T08:00:00+00:00,2021-11-09T09:00:00+01:00,AT,242.65
2021-11-09T08:00:00+00:00,2021-11-09T09:00:00+01:00,BE,206.58
2021-11-09T08:00:00+00:00,2021-11-09T09:00:00+01:00,CH,234.09
2021-11-09T08:00:00+00:00,2021-11-09T09:00:00+01:00,DE-LU,190.09
2021-11-09T08:00:00+00:00,2021-11-09T09:00:00+01:00,FR,215.03
2021-11-09T08:00:00+00:00,2021-11-09T09:00:00+01:00,NL,161.06
2021-11-09T09:00:00+00:00,2021-11-09T10:00:00+01:00,AT,223.13
2021-11-09T09:00:00+00:00,2021-11-09T10:00:00+01:00,BE,150.0
2021-11-09T09:00:00+00:00,2021-11-09T10:00:00+01:00,CH,222.87
2021-11-09T09:00:00+00:00,2021-11-09T10:00:00+01:00,DE-LU,151.87
2021-11-09T09:00:00+00:00,2021-11-09T10:00:00+01:00,FR,180.98
2021-11-09T09:00:00+00:00,2021-11-09T10:00:00+01:00,NL,146.6
2021-11-09T10:00:00+00:00,2021-11-09T11:00:00+01:00,AT,219.99
2021-11-09T10:00:00+00:00,2021-11-09T11:00:00+01:00,BE,150.0
2021-11-09T10:00:00+00:00,2021-11-09T11:00:00+01:00,CH,219.93
2021-11-09T10:00:00+00:00,2021-11-09T11:00:00+01:00,DE-LU,135.03
2021-11-09T10:00:00+00:00,2021-11-09T11:00:00+01:00,FR,170.01
2021-11-09T10:00:00+00:00,2021-11-09T11:00:00+01:00,NL,145.76
2021-11-09T11:00:00+00:00,2021-11-09T12:00:00+01:00,AT,216.0
2021-11-09T11:00:00+00:00,2021-11-09T12:00:00+01:00,BE,155.2
2021-11-09T11:00:00+00:00,2021-11-09T12:00:00+01:00,CH,215.52
2021-11-09T11:00:00+00:00,2021-11-09T12:00:00+01:00,DE-LU,120.08
2021-11-09T11:00:00+00:00,2021-11-09T12:00:00+01:00,FR,169.46
2021-11-09T11:00:00+00:00,2021-11-09T12:00:00+01:00,NL,148.2
2021-11-09T12:00:00+00:00,2021-11-09T13:00:00+01:00,AT,218.2
2021-11-09T12:00:00+00:00,2021-11-09T13:00:00+01:00,BE,158.65
2021-11-09T12:00:00+00:00,2021-11-09T13:00:00+01:00,CH,212.27
2021-11-09T12:00:00+00:00,2021-11-09T13:00:00+01:00,DE-LU,127.46
2021-11-09T12:00:00+00:00,2021-11-09T13:00:00+01:00,FR,171.46
2021-11-09T12:00:00+00:00,2021-11-09T13:00:00+01:00,NL,151.1
2021-11-09T13:00:00+00:00,2021-11-09T14:00:00+01:00,AT,219.91
2021-11-09T13:00:00+00:00,2021-11-09T14:00:00+01:00,BE,165.29
2021-11-09T13:00:00+00:00,2021-11-09T14:00:00+01:00,CH,219.91
2021-11-09T13:00:00+00:00,2021-11-09T14:00:00+01:00,DE-LU,147.01
2021-11-09T13:00:00+00:00,2021-11-09T14:00:00+01:00,FR,175.52
2021-11-09T13:00:00+00:00,2021-11-09T14:00:00+01:00,NL,152.95
2021-11-09T14:00:00+00:00,2021-11-09T15:00:00+01:00,AT,214.93
2021-11-09T14:00:00+00:00,2021-11-09T15:00:00+01:00,BE,184.54
2021-11-09T14:00:00+00:00,2021-11-09T15:00:00+01:00,CH,227.61
2021-11-09T14:00:00+00:00,2021-11-09T15:00:00+01:00,DE-LU,170.0
2021-11-09T14:00:00+00:00,2021-11-09T15:00:00+01:00,FR,191.89
2021-11-09T14:00:00+00:00,2021-11-09T15:00:00+01:00,NL,170.0
2021-11-09T15:00:00+00:00,2021-11-09T16:00:00+01:00,AT,219.97
2021-11-09T15:00:00+00:00,2021-11-09T16:00:00+01:00,BE,203.9
2021-11-09T15:00:00+00:00,2021-11-09T16:00:00+01:00,CH,227.62
2021-11-09T15:00:00+00:00,2021-11-09T16:00:00+01:00,DE-LU,203.9
2021-11-09T15:00:00+00:00,2021-11-09T16:00:00+01:00,FR,212.41
2021-11-09T15:00:00+00:00,2021-11-09T16:00:00+01:00,NL,203.9
2021-11-09T16:00:00+00:00,2021-11-09T17:00:00+01:00,AT,223.67
2021-11-09T16:00:00+00:00,2021-11-09T17:00:00+01:00,BE,223.67
2021-11-09T16:00:00+00:00,2021-11-09T17:00:00+01:00,CH,248.01
2021-11-09T16:00:00+00:00,2021-11-09T17:00:00+01:00,DE-LU,223.67
2021-11-09T16:00:00+00:00,2021-11-09T17:00:00+01:00,FR,223.67
2021-11-09T16:00:00+00:00,2021-11-09T17:00:00+01:00,NL,223.67
2021-11-09T17:00:00+00:00,2021-11-09T18:00:00+01:00,AT,219.98
2021-11-09T17:00:00+00:00,2021-11-09T18:00:00+01:00,BE,235.85
2021-11-09T17:00:00+00:00,2021-11-09T18:00:00+01:00,CH,270.03
2021-11-09T17:00:00+00:00,2021-11-09T18:00:00+01:00,DE-LU,190.0
2021-11-09T17:00:00+00:00,2021-11-09T18:00:00+01:00,FR,255.0
2021-11-09T17:00:00+00:00,2021-11-09T18:00:00+01:00,NL,215.0
2021-11-09T18:00:00+00:00,2021-11-09T19:00:00+01:00,AT,214.93
2021-11-09T18:00:00+00:00,2021-11-09T19:00:00+01:00,BE,223.05
2021-11-09T18:00:00+00:00,2021-11-09T19:00:00+01:00,CH,250.04
2021-11-09T18:00:00+00:00,2021-11-09T19:00:00+01:00,DE-LU,184.56
2021-11-09T18:00:00+00:00,2021-11-09T19:00:00+01:00,FR,239.44
2021-11-09T18:00:00+00:00,2021-11-09T19:00:00+01:00,NL,181.0
2021-11-09T19:00:00+00:00,2021-11-09T20:00:00+01:00,AT,187.08
2021-11-09T19:00:00+00:00,2021-11-09T20:00:00+01:00,BE,194.87
2021-11-09T19:00:00+00:00,2021-11-09T20:00:00+01:00,CH,230.01
2021-11-09T19:00:00+00:00,2021-11-09T20:00:00+01:00,DE-LU,141.62
2021-11-09T19:00:00+00:00,2021-11-09T20:00:00+01:00,FR,218.4
2021-11-09T19:00:00+00:00,2021-11-09T20:00:00+01:00,NL,152.3
2021-11-09T20:00:00+00:00,2021-11-09T21:00:00+01:00,AT,157.6
2021-11-09T20:00:00+00:00,2021-11-09T21:00:00+01:00,BE,181.12
2021-11-09T20:00:00+00:00,2021-11-09T21:00:00+01:00,CH,212.23
2021-11-09T20:00:00+00:00,2021-11-09T21:00:00+01:00,DE-LU,141.72
2021-11-09T20:00:00+00:00,2021-11-09T21:00:00+01:00,FR,197.52
2021-11-09T20:00:00+00:00,2021-11-09T21:00:00+01:00,NL,152.1
2021-11-09T21:00:00+00:00,2021-11-09T22:00:00+01:00,AT,152.04
2021-11-09T21:00:00+00:00,2021-11-09T22:00:00+01:00,BE,174.95
2021-11-09T21:00:00+00:00,2021-11-09T22:00:00+01:00,CH,204.86
2021-11-09T21:00:00+00:00,2021-11-09T22:00:00+01:00,DE-LU,138.14
2021-11-09T21:00:00+00:00,2021-11-09T22:00:00+01:00,FR,191.0
2021-11-09T21:00:00+00:00,2021-11-09T22:00:00+01:00,NL,152.2
2021-11-09T22:00:00+00:00,2021-11-09T23:00:00+01:00,AT,135.07
2021-11-09T22:00:00+00:00,2021-11-09T23:00:00+01:00,BE,175.0
2021-11-09T22:00:00+00:00,2021-11-09T23:00:00+01:00,CH,197.42
2021-11-09T22:00:00+00:00,2021-11-09T23:00:00+01:00,DE-LU,120.06
2021-11-09T22:00:00+00:00,2021-11-09T23:00:00+01:00,FR,188.19
2021-11-09T22:00:00+00:00,2021-11-09T23:00:00+01:00,NL,152.3
2021-11-09T23:00:00+00:00,2021-11-10T00:00:00+01:00,AT,93.74
2021-11-09T23:00:00+00:00,2021-11-10T00:00:00+01:00,BE,187.01
2021-11-09T23:00:00+00:00,2021-11-10T00:00:00+01:00,CH,177.14
2021-11-09T23:00:00+00:00,2021-11-10T00:00:00+01:00,DE-LU,93.74
2021-11-09T23:00:00+00:00,2021-11-10T00:00:00+01:00,FR,187.01
2021-11-09T23:00:00+00:00,2021-11-10T00:00:00+01:00,NL,93.74
2021-11-10T00:00:00+00:00,2021-11-10T01:00:00+01:00,AT,94.95
2021-11-10T00:00:00+00:00,2021-11-10T01:00:00+01:00,BE,175.9
2021-11-10T00:00:00+00:00,2021-11-10T01:00:00+01:00,CH,173.5
2021-11-10T00:00:00+00:00,2021-11-10T01:00:00+01:00,DE-LU,94.95
2021-11-10T00:00:00+00:00,2021-11-10T01:00:00+01:00,FR,180.91
2021-11-10T00:00:00+00:00,2021-11-10T01:00:00+01:00,NL,99.9
2021-11-10T01:00:00+00:00,2021-11-10T02:00:00+01:00,AT,94.86
2021-11-10T01:00:00+00:00,2021-11-10T02:00:00+01:00,BE,172.0
2021-11-10T01:00:00+00:00,2021-11-10T02:00:00+01:00,CH,171.94
2021-11-10T01:00:00+00:00,2021-11-10T02:00:00+01:00,DE-LU,94.86
2021-11-10T01:00:00+00:00,2021-11-10T02:00:00+01:00,FR,179.5
2021-11-10T01:00:00+00:00,2021-11-10T02:00:00+01:00,NL,94.86
2021-11-10T02:00:00+00:00,2021-11-10T03:00:00+01:00,AT,95.95
2021-11-10T02:00:00+00:00,2021-11-10T03:00:00+01:00,BE,167.6
2021-11-10T02:00:00+00:00,2021-11-10T03:00:00+01:00,CH,166.43
2021-11-10T02:00:00+00:00,2021-11-10T03:00:00+01:00,DE-LU,95.95
2021-11-10T02:00:00+00:00,2021-11-10T03:00:00+01:00,FR,171.81
2021-11-10T02:00:00+00:00,2021-11-10T03:00:00+01:00,NL,95.95
2021-11-10T03:00:00+00:00,2021-11-10T04:00:00+01:00,AT,115.5
2021-11-10T03:00:00+00:00,2021-11-10T04:00:00+01:00,BE,171.0
2021-11-10T03:00:00+00:00,2021-11-10T04:00:00+01:00,CH,165.51
2021-11-10T03:00:00+00:00,2021-11-10T04:00:00+01:00,DE-LU,115.5
2021-11-10T03:00:00+00:00,2021-11-10T04:00:00+01:00,FR,173.25
2021-11-10T03:00:00+00:00,2021-11-10T04:00:00+01:00,NL,115.5
2021-11-10T04:00:00+00:00,2021-11-10T05:00:00+01:00,AT,140.05
2021-11-10T04:00:00+00:00,2021-11-10T05:00:00+01:00,BE,182.6
2021-11-10T04:00:00+00:00,2021-11-10T05:00:00+01:00,CH,176.12
2021-11-10T04:00:00+00:00,2021-11-10T05:00:00+01:00,DE-LU,140.05
2021-11-10T04:00:00+00:00,2021-11-10T05:00:00+01:00,FR,182.6
2021-11-10T04:00:00+00:00,2021-11-10T05:00:00+01:00,NL,140.05
2021-11-10T05:00:00+00:00,2021-11-10T06:00:00+01:00,AT,175.0
2021-11-10T05:00:00+00:00,2021-11-10T06:00:00+01:00,BE,181.0
2021-11-10T05:00:00+00:00,2021-11-10T06:00:00+01:00,CH,199.95
2021-11-10T05:00:00+00:00,2021-11-10T06:00:00+01:00,DE-LU,175.0
2021-11-10T05:00:00+00:00,2021-11-10T06:00:00+01:00,FR,221.33
2021-11-10T05:00:00+00:00,2021-11-10T06:00:00+01:00,NL,175.0
2021-11-10T06:00:00+00:00,2021-11-10T07:00:00+01:00,AT,204.98
2021-11-10T06:00:00+00:00,2021-11-10T07:00:00+01:00,BE,204.98
2021-11-10T06:00:00+00:00,2021-11-10T07:00:00+01:00,CH,233.13
2021-11-10T06:00:00+00:00,2021-11-10T07:00:00+01:00,DE-LU,204.98
