debs_symbol,yahoo_ticker,exchange,resolved_via,shortName,longName,sector,industry,country,city,currency,quoteType,marketCap,fullTimeEmployees,website,isin_yf
516790.ETR,UUU.DE,ETR,isin,3U Holding AG                 I,3U Holding AG,Industrials,Building Products & Equipment,Germany,Marburg,EUR,EQUITY,67359336.0,187.0,https://www.3u.net,DE0005167902
517690.ETR,SUR.DE,ETR,isin,SURTECO GROUP SE              I,Surteco Group SE,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Germany,Buttenwiesen,EUR,EQUITY,140326864.0,3620.0,https://www.surteco.com,DE0005176903
517800.ETR,SYT.DE,ETR,isin,SOFTING AG                    I,Softing AG,Technology,Information Technology Services,Germany,Haar,EUR,EQUITY,28060464.0,407.0,https://company.softing.com/de,DE0005178008
518160.ETR,WFA.F,ETR,isin,Weng Fine Art AG              N,Weng Fine Art AG,Consumer Cyclical,Specialty Retail,Germany,Monheim am Rhein,EUR,EQUITY,,,https://www.wengfineart.com,DE0005181606
519000.ETR,BMW.DE,ETR,isin,BAYERISCHE MOTOREN WERKE AG   S,Bayerische Motoren Werke Aktiengesellschaft,Consumer Cyclical,Auto Manufacturers,Germany,Munich,EUR,EQUITY,35553128448.0,154540.0,https://www.bmwgroup.com,DE0005190003
519400.ETR,BYW.DE,ETR,isin,BAYWA AG                      N,BayWa Aktiengesellschaft,Industrials,Conglomerates,Germany,Munich,EUR,EQUITY,628644736.0,18391.0,https://www.baywa.com,DE0005194005
519406.ETR,BYW6.DE,ETR,isin,BAYWA AG                      V,BayWa Aktiengesellschaft,Industrials,Conglomerates,Germany,Munich,EUR,EQUITY,172235824.0,18391.0,https://www.baywa.com,DE0005194062
519990.ETR,ECK.F,ETR,isin,LUDW.BECK A.RATH.ECK-TEXTIL.AGI,LUDWIG BECK am Rathauseck - Textilhaus Feldmeier AG,Consumer Cyclical,Department Stores,Germany,Munich,EUR,EQUITY,82768000.0,255.0,https://www.ludwigbeck.de,DE0005199905
520000.ETR,BEI.DE,ETR,isin,BEIERSDORF AG                 I,Beiersdorf Aktiengesellschaft,Consumer Defensive,Household & Personal Products,Germany,Hamburg,EUR,EQUITY,17630496768.0,20778.0,https://www.beiersdorf.com,DE0005200000
520160.ETR,BEZ.F,ETR,isin,BERENTZEN-GRUPPE AG           I,Berentzen-Gruppe Aktiengesellschaft,Consumer Defensive,Beverages - Wineries & Distilleries,Germany,Haselünne,EUR,EQUITY,29496190.0,428.0,https://www.berentzen-gruppe.de,DE0005201602
520230.ETR,QB7.DE,ETR,isin,Quirin Privatbank AG          I,Quirin Privatbank AG,Financial Services,Banks - Regional,Germany,Berlin,EUR,EQUITY,142394384.0,280.0,https://quirinprivatbank.de,DE0005202303
520394.ETR,BNN.F,ETR,isin,BRAIN Biotech AG              N,BRAIN Biotech AG,Basic Materials,Specialty Chemicals,Germany,Zwingenberg,EUR,EQUITY,59206716.0,280.0,https://www.brain-biotech.com,DE0005203947
520958.ETR,A6T.F,ETR,isin,ARTEC TECHNOLOGIES AG         I,artec technologies AG,Technology,Consumer Electronics,Germany,Diepholz,EUR,EQUITY,6038183.0,22.0,https://www.artec.de,DE0005209589
521830.ETR,MBQ.F,ETR,isin,MOBOTIX AG                    I,Mobotix AG,Industrials,Security & Protection Services,Germany,Winnweiler,EUR,EQUITY,12866329.0,249.0,https://www.mobotix.com,DE0005218309
522000.ETR,EBK.DE,ETR,isin,ENBW ENERGIE BAD.-WUE. ON,EnBW Energie Baden-Württemberg AG,Utilities,Utilities - Diversified,Germany,Karlsruhe,EUR,EQUITY,22643900416.0,29713.0,https://www.enbw.com,DE0005220008
