filing_id,lei,company_name,country,period_end,date_added,json_url,package_url,error_count
969500FU4DRAEVJW7U54-2022-12-31-ESEF-FR-0,969500FU4DRAEVJW7U54,VIVENDI SE,FR,2022-12-31,2023-03-21 10:33:08.952296,https://filings.xbrl.org/969500FU4DRAEVJW7U54/2022-12-31/ESEF/FR/0/Vivendi-2022-12-31-FR.json,https://filings.xbrl.org/969500FU4DRAEVJW7U54/2022-12-31/ESEF/FR/0/Vivendi-2022-12-31-FR.zip,0
969500FULTKJYIRIAT87-2020-12-31-ESEF-FR-0,969500FULTKJYIRIAT87,LNA SANTE,FR,2020-12-31,2021-05-18 00:00:00,https://filings.xbrl.org/969500FULTKJYIRIAT87/2020-12-31/ESEF/FR/0/lna-2020-12-31AR.json,https://filings.xbrl.org/969500FULTKJYIRIAT87/2020-12-31/ESEF/FR/0/lna-2020-12-31AR.zip,0
969500FULTKJYIRIAT87-2021-12-31-ESEF-FR-0,969500FULTKJYIRIAT87,LNA SANTE,FR,2021-12-31,2022-05-03 00:00:00,https://filings.xbrl.org/969500FULTKJYIRIAT87/2021-12-31/ESEF/FR/0/LNA-2021-12-31-fr.json,https://filings.xbrl.org/969500FULTKJYIRIAT87/2021-12-31/ESEF/FR/0/LNA-2021-12-31-fr.zip,0
969500FYLNRXCJ348W66-2020-12-31-ESEF-FR-0,969500FYLNRXCJ348W66,HIGH CO,FR,2020-12-31,2021-05-18 00:00:00,https://filings.xbrl.org/969500FYLNRXCJ348W66/2020-12-31/ESEF/FR/0/highco-2020-12-31AR.json,https://filings.xbrl.org/969500FYLNRXCJ348W66/2020-12-31/ESEF/FR/0/highco-2020-12-31AR.zip,0
969500FYLNRXCJ348W66-2021-12-31-ESEF-FR-0,969500FYLNRXCJ348W66,HIGH CO,FR,2021-12-31,2022-04-26 00:00:00,https://filings.xbrl.org/969500FYLNRXCJ348W66/2021-12-31/ESEF/FR/0/highco-2021-12-31-fr.json,https://filings.xbrl.org/969500FYLNRXCJ348W66/2021-12-31/ESEF/FR/0/highco-2021-12-31-fr.zip,0
969500FYLNRXCJ348W66-2022-12-31-ESEF-FR-0,969500FYLNRXCJ348W66,HIGH CO,FR,2022-12-31,2023-04-25 09:55:46.761198,https://filings.xbrl.org/969500FYLNRXCJ348W66/2022-12-31/ESEF/FR/0/highco-2022-12-31-fr.json,https://filings.xbrl.org/969500FYLNRXCJ348W66/2022-12-31/ESEF/FR/0/highco-2022-12-31-fr.zip,0
969500G42GDB5YEC2Q03-2021-12-31-ESEF-FR-0,969500G42GDB5YEC2Q03,SQLI,FR,2021-12-31,2022-04-28 00:00:00,https://filings.xbrl.org/969500G42GDB5YEC2Q03/2021-12-31/ESEF/FR/0/969500G42GDB5YEC2Q03-2021-12-31AR.json,https://filings.xbrl.org/969500G42GDB5YEC2Q03/2021-12-31/ESEF/FR/0/969500G42GDB5YEC2Q03-2021-12-31AR.zip,0
969500G42GDB5YEC2Q03-2022-12-31-ESEF-FR-0,969500G42GDB5YEC2Q03,SQLI,FR,2022-12-31,2023-05-02 12:23:41.696480,https://filings.xbrl.org/969500G42GDB5YEC2Q03/2022-12-31/ESEF/FR/0/969500G42GDB5YEC2Q03-2022-12-31AR.json,https://filings.xbrl.org/969500G42GDB5YEC2Q03/2022-12-31/ESEF/FR/0/969500G42GDB5YEC2Q03-2022-12-31AR.zip,0
969500GFIL2Z81YKUM35-2022-12-31-ESEF-FR-0,969500GFIL2Z81YKUM35,BOURSE DIRECT,FR,2022-12-31,2023-05-02 12:23:15.944246,https://filings.xbrl.org/969500GFIL2Z81YKUM35/2022-12-31/ESEF/FR/0/969500GFIL2Z81YKUM35-2022-12-31AR.json,https://filings.xbrl.org/969500GFIL2Z81YKUM35/2022-12-31/ESEF/FR/0/969500GFIL2Z81YKUM35-2022-12-31AR.zip,0
969500GFM1C4M1KMPL74-2022-12-31-ESEF-FR-0,969500GFM1C4M1KMPL74,EXCLUSIVE NETWORKS SA,FR,2022-12-31,2023-05-02 12:23:47.752668,https://filings.xbrl.org/969500GFM1C4M1KMPL74/2022-12-31/ESEF/FR/0/exclusivenetworks-2022-12-31-fr.json,https://filings.xbrl.org/969500GFM1C4M1KMPL74/2022-12-31/ESEF/FR/0/exclusivenetworks-2022-12-31-fr.zip,0
